carat,cut,color,clarity,depth,table,price,x,y,z,logprice
0.51,Very Good,D,VS2,60.5,56,1658,5.18,5.22,3.14,7.4133673356952405
0.52,Ideal,G,VS1,61.4,56,1772,5.2,5.2,3.18,7.4798641311650265
1.64,Ideal,I,VS2,62.5,56,11963,7.54,7.59,4.71,9.389573832170905
0.46,Ideal,E,VVS2,62.6,54,1736,4.95,4.95,3.09,7.459338895220296
0.31,Premium,E,SI2,60.9,60,540,4.37,4.4,2.65,6.29156913955832
0.9,Very Good,H,SI1,63,55,3323,6.13,6.17,3.86,8.108623268354595
0.4,Premium,F,SI1,62.5,59,769,4.7,4.73,2.91,6.645090969505644
0.37,Ideal,I,VS1,61.2,56,552,4.6,4.58,2.84,6.313548046277095
0.32,Ideal,G,VS2,61.6,55,561,4.41,4.44,2.73,6.329720905522696
2.02,Very Good,G,SI1,61.8,54,18077,8.02,8.09,5.02,9.802395690974855
1.07,Very Good,F,VS1,61.6,56,7679,6.55,6.57,4.04,8.946244609330543
0.72,Ideal,F,VS2,61.8,55,2537,5.78,5.8,3.57,7.838737559599282
1.16,Ideal,G,VVS2,62,55,8701,6.74,6.78,4.18,9.071193240566025
0.3,Premium,G,VS1,62.9,60,776,4.26,4.23,2.68,6.654152520183219
1.03,Ideal,D,VS1,61.5,57,8645,6.55,6.46,3.99,9.064736398117391
1.06,Premium,G,SI1,61.9,56,5043,6.55,6.54,4.04,8.525756422076725
0.41,Very Good,G,VS1,60,57,1061,4.79,4.84,2.91,6.966967138613983
2.44,Premium,J,VS2,61.4,60,18701,8.83,8.88,5.28,9.83633227734872
0.4,Ideal,F,VS1,62,54,916,4.77,4.84,2.94,6.82001636467413
1.5,Fair,D,SI1,65.1,56,8869,7.15,7.13,4.6,9.090317329376452
0.5,Very Good,D,SI1,62,56,1354,5.09,5.12,3.16,7.21081845347222
2.01,Good,H,I1,57.6,63,7024,8.32,8.25,4.73,8.857088135314953
0.53,Ideal,D,SI1,62.3,56,1621,5.16,5.18,3.22,7.390798521735676
0.58,Ideal,J,VS2,62.1,56,1166,5.35,5.36,3.32,7.061334366910438
0.34,Ideal,I,VS1,62.4,57,689,4.47,4.44,2.79,6.535241271013659
